title,date,timestamp,source
Smoke Still Rising From Dubai High-Rise Amid Fire Investigation,January-1-2016,1451624400,npr
Gunman In Downtown Tel Aviv Kills 2 Israelis,January-1-2016,1451624400,npr
New Year's Eve Fireworks In Dubai Go On Despite Hotel Fire,January-1-2016,1451624400,npr
Brazilians Welcome The New Year At Big Beach Party,January-1-2016,1451624400,npr
Hotel Fire Raises Concerns About Safety Of Dubai's Skyscrapers,January-1-2016,1451624400,npr
"As Iran Moves Swiftly On Nuclear Deal, Sanctions Could Go Soon",January-1-2016,1451624400,npr
What Happens When A Disaster Unfolds In Slow Motion,January-1-2016,1451624400,npr
Berlin's Traditional Fireworks Display Stresses Migrants,January-1-2016,1451624400,npr
Blind Masseur Helps Relieve Tension In War-Torn South Sudan,January-1-2016,1451624400,npr
Russians Find Favored Holiday Destinations Suddenly Off Limits,January-2-2016,1451710800,npr
Iranian Protesters Arrested At Saudi Embassy In Tehran,January-2-2016,1451710800,npr
"Saudi Arabia Executes Dozens, Exacerbating Sectarian Tensions",January-2-2016,1451710800,npr
The Rise Of The Mega-Mosque In Turkey,January-2-2016,1451710800,npr
"Saudi Arabia Executes 47, Including Prominent Cleric",January-2-2016,1451710800,npr
"Amid Attacks In Jerusalem, A New Fear: That Person Next To You On The Street",January-2-2016,1451710800,npr
GHD Is Not An AFZ. HTH You Understand What They Mean!,January-2-2016,1451710800,npr
Asia Expert: Taliban's Resurgence Threatens Afghanistan's Stability,January-2-2016,1451710800,npr
Saudi Arabia's Killing Of Leading Shiite Cleric And 46 Others Sparks Outcry,January-2-2016,1451710800,npr
Egypt Cracks Down On Free Facebook Service,January-3-2016,1451797200,npr
Sunni University's Anti-Extremist Message Undercut By Ties To Egypt,January-3-2016,1451797200,npr
"Saudi Arabia, Iran Face Off As Sectarian Tensions Escalate After Executions",January-3-2016,1451797200,npr
"In Nigeria, A Culture Of Bribery Turns Deadly",January-3-2016,1451797200,npr
How Uganda Came To Earn High Marks For Quality Of Death,January-3-2016,1451797200,npr
Who Was The Shiite Sheikh Executed By Saudi Arabia?,January-4-2016,1451883600,npr
Global Health Forecast For 2016: Which Diseases Will Rise ... Or Fall?,January-4-2016,1451883600,npr
Author Profiles The 'Traumatized People' Living In The World's Largest Refugee Camp,January-4-2016,1451883600,npr
"Under King Salman, Saudi Arabia Takes A Harder Line With Iran ",January-4-2016,1451883600,npr
Using Technology To Keep Carbon Emissions In Check,January-4-2016,1451883600,npr
Saudi Arabia And Iran: Here's How Their Feud Could Escalate,January-4-2016,1451883600,npr
"After Left Stranded At Sea, What Happened To The Rohingya Migrants?",January-4-2016,1451883600,npr
"7 Percent Drop Closes Chinese Stock Markets; U.S., World Markets Also Slump",January-4-2016,1451883600,npr
"In London, Builders Dig Deep To Offer More Room",January-4-2016,1451883600,npr
Global Stock Markets Open 2016 With Sharp Dive,January-4-2016,1451883600,npr
"Sectarian Tensions Between Saudi Arabia, Iran Reach Boiling Point Over Executions",January-4-2016,1451883600,npr
"In India, New Year Begins With Brazen Assault Near Border With Pakistan",January-4-2016,1451883600,npr
"Sudan And Bahrain Join Saudi Arabia, Cutting Diplomatic Ties With Iran",January-4-2016,1451883600,npr
Iraq Holds First National Beauty Pageant In 40 Years,January-4-2016,1451883600,npr
Saudi Arabia's Execution Of Shiite Cleric Sets Off Diplomatic War With Iran,January-4-2016,1451883600,npr
Sweden Implements Tighter Border Controls Amid Migrant Crisis,January-5-2016,1451970000,npr
North Korea Says It Conducted Hydrogen Bomb Test,January-5-2016,1451970000,npr
"Troubles Are Up In The Middle East, But Oil Prices Are Down. Huh? ",January-5-2016,1451970000,npr
British-Accented Man In New ISIS Video Is Suspected To Be A Former Salesman,January-5-2016,1451970000,npr
