headline,year
Aww! Woman and Her Dog Are on the Same SSRI,2020
Election Day Now that Friend Who Celebrates Her Birthday All Month,2020
REPORT: Straight White Friend Going to Still be Friends With Everyone When This Election is All Over,2020
Finally! Scientists Vow to Send That Disgusting Little Freak Stitch Back to Space Where He Belongs,2020
4 Gorgeous Subarus I’d be Proud to Call My Wife,2020
Researchers Are Trying To Figure Out How Little Nephew Is Now Thirteen Years Old,2020
Why I’m Protesting on Behalf of the People Already in Charge,2020
Red Flag? This Guy Wants to Eat at a Restaurant,2020
How to Find Your Way Back When You Get Separated From Adult TikTok,2020
Goals! This Woman is About to Live Through a Civil War Just Like Her Favorite ‘Little Women’ Character,2020
5 Rotting Pumpkins That Will Make You Say ‘Same’,2020
4 Ways to Punish Yourself for Not Committing to Your Self-Care Routine,2020
"Sorry, Babe: Nation Not Even Close to Finishing",2020
Nancy Pelosi Pledges to Tweet Something Really Bitchy if Trump Tries to Steal the Election,2020
CDC Recommends Washing Mask Every Day and Also Having a Will to Live,2020
Nice! Daylight Savings Time The Least Of Our Problems This Year,2020
How I Achieved Cottagecore by Dressing Up as the Travelocity Gnome,2020
Woman Struggling to Focus on Work Since March Ready to Throw Herself Into it This Week,2020
4 Affirmations to Help You Cope with Never Being as Good as Sarah Paulson,2020
Doctors Advise to Just Eat Whatever the Fuck Gets You Through This Week,2020
QUIZ: Is This Man You’re Scared of Trusting an Ex or Nate Silver?,2020
Oh No! Steve Kornacki Zoomed In Too Far On The Election Map and Showed Me Naked On My Couch to Everybody on MSNBC,2020
Chris Pratt Posts Unwelcome ‘I Voted’ Selfie,2020
Zoom Therapy Session Way Worse From Childhood Bedroom,2020
Models in Stock Photo Definitely Fucked,2020
Scientists Now Believe We May Have Developed Eyebrows Because Our Hairline Was Supposed to Go Down to There,2020
Uh-Oh! New Co-Worker Setting Dangerous Precedent By Responding To Emails Within Minutes,2020
How I Improved My Life by Muting Anyone Too Happy or Sad or Pretty or Ugly or Smart or Stupid,2020
"‘Blech, Not Them Again!’ Laments Mom During Mucinex Commercial",2020
So-Called Adult Woman Sure Does Love the Teensy Baby Spoon for Her Little Yogurt,2020
Suspicious? This Cat Knows All the Lyrics to ‘I Write Sins Not Tragedies’ by Panic! At The Disco,2020
Tiny Alien Piloting Jeremy Renner’s Brain Announces New Music Dropping Soon,2020
The 5 Most Problematic Sea Shanties We Heard the Old Sea Captain Sing On Our Company’s Annual Whale-Watching Trip,2020
10-Year-Old Niece Now Old Enough to See That You’re Not the Cool Aunt,2020
Most Confident Friend Also Most Delusional,2020
One Suspenseful Halloween Activity That is Just Opening a Pillsbury Can,2020
Let Him Down Easy by Responding ‘Lmao Yeah’ to Every Third Text,2020
I’m Voting for Joe Biden Because I Want to Hate the President a Normal Amount,2020
Uh Oh! This ‘Plant Mom’ Just Remembered She’s a Real Mom Who Left Her Kid at the Garden Center,2020
4 Lipsticks That Won’t Wear Off While You’re Eating Your Ham,2020
"How to Remember That Idea You Forgot to Write Down You Stupid, Stupid Idiot – You Moron, You Certified Dingbat, You Piece of Shit",2020
How to Stay Humble Even Though You Own the 12-Foot Home Depot Skeleton,2020
Woman So Pale She’s Technically Haunting Herself,2020
New Polls Predict Unprecedented Turnout to Therapy,2020
Woman Hasn’t Seen Desktop Background in Two Years,2020
Self-Care Queen! This Woman Sometimes Changes Her Bong Water,2020
"‘I Have Amazing Gaydar,’ Says Woman Who Won’t Realize She’s Bi for Three More Years",2020
"4 Itty Bitty Purses That Say, ‘Would a Needy Person Carry THIS?’",2020
Old College Boyfriend Excited to Pretend He Was Always Right About Whatever Election Results Are,2020
Researchers Now Say We Should Be Getting 22 Hours Of Sleep A Day,2020
‘This Would Be Considered Creepy if the Genders Were Reversed’ Says Man About Behavior That’s Already Creepy,2020
"All Bodies are Beautiful, and All Ears are Disgusting",2020
"How to Avoid Running Into Your Ex by Wearing a Hat, Sunglasses, and Always Carrying a Large Fern",2020
Scientists Confirm the Moon is a Woman and She’s Wet,2020
Undecided On This Year’s Election? Why Not Find a Therapist or Moral Compass,2020
Jealous? This Leaf Just Died,2020
Four Manic Pixie Dream Girls Who Didn’t Finish Their Antibiotics,2020
4 Baseball Caps to Show the World You’re a Baseball Cap Girly,2020
‘Where’s Your Little Friend?’ Relative Asks About Adult Person You’re In a Relationship With,2020
Woman Diagnosed As Highly Susceptible to Targeted Instagram Ads,2020
Guy Who Ghosted You Now Texting You to Go Out and Vote,2020
Italian Mom Wants to Know Whena You Giva Da Grandchild to Her,2020
This Door Frame Pull-Up Bar is Perfect for Discovering You Can’t Do a Pull-Up,2020
QUIZ: Do You Think I Could Do a Cartwheel If I Really Tried?,2020
Why I Got Curtain Bangs and Draw Them Shut Whenever I’ve Had Enough,2020
Woman Skeptical About Election Polls After Being Burned Once by Bo Bice’s ‘American Idol’ Loss,2020
"4 Sexy Vampire Costumes That Say, ‘My Cat’s Name Is Renesmee’",2020
Mom Taking Low-Angle Pictures of You Eating With Your Cousins Again,2020
Space Heaters That Are Cheaper Than Paying for Heat Until They Burn Your Entire Building Down,2020
How to Transition from Being Happy Today is Almost Over to Sad Because Tomorrow Will Soon Begin,2020
"Being Bisexual Does Not Make Me Slutty, I Just Happen to be Both",2020
How to Clean Your Room Even Though Nobody is Coming Over for Sex,2020
"Here’s How the Cupid Shuffle Brought Me to the Left, to the Left, to the Left, to the Left",2020
Fall Porn? This Porn Has Wreaths!,2020
QUIZ: Is Your Manor Haunted or Did You Take Too Many Edibles in Your Apartment Again?,2020
"‘Let’s Change The Subject,’ Says Mother Proven Wrong",2020
4 Heavy Cocktails to Help You Grapple With the Fact That You Are Sexually Attracted to Ms. Frizzle,2020
"Sorry If I Seem Out of It! I’m Just a Little Tired of Having No Job, Friends, Or Family",2020
Hard-Boiled Egg Rolls Under Fridge in Misguided Quest for Freedom,2020
Sad! These Squat Proof Leggings Aren’t Shit Proof,2020
Nobel Peace Prize Awarded to Green Left Arrow on Traffic Light,2020
‘Maybe We Could Go for a Socially Distanced Walk?’ Says Man Trying to Cum on Your Face,2020
"Here, Have Some Photographs of Tom Holland, You Sick Fuck",2020
How to Watch a Little Movie and Have a Little Opinion on It That You Text to Your Little Friends,2020
Daredevil? This Woman Doesn’t Let Her Lean Cuisine Sit for Two Minutes Before Enjoying,2020
Nonalcoholic Euphorics That Won’t Get You Drunk But Will Still Cost You $45,2020
Woman Who Has Neglected Every Other Aspect of Health Thinking of Getting Into Hair Care,2020
REPORT: This Bitch Thinks She Can Just Get Away with Using Canned Pumpkin,2020
Why I Stopped Dating Men and Started Dating My Humidifier,2020
‘Both Parties Are Bad!’ Says Hometown Friend Who Made You Choose Between NSYNC and Backstreet Boys,2020
Slutty Mask Has Lipstick Smeared Absolutely All Over,2020
Mom Has No Memory of That Traumatic Childhood Event,2020
"Pandemic ‘Stigmatizing’, Reports the Pale and Fucked-Up Looking",2020
Here’s How to Vote So Early That You Erase the Past,2020
Originalist Dentist Defends Use of Leeches,2020
I Refuse to Live My Life in Fear. That’s Why I Choose to Live With This Killer Clown,2020
Do You Know the Muffin Man? Is He Single?,2020
You Go Girl! Mother is Moisturizing Her Legs,2020
Woman Who Once Baked Fresh Sourdough Now Just Slamming Loose Lunch Meat,2020
Nation Braces Itself for Spike in COVID-Themed Halloween Costumes,2020
Cruelty-Free Makeup for You to Be a Huge Bitch In,2020
How to be More Like Emily in Paris When You’re Feeling Like Courtney in Rochester,2020
Should You Interpret His Drunk Text As An Originalist or with Living Constitution Theory?,2020
"How to Answer, ‘Where Are You REALLY From?’ When You’re From the Lost Island of Atlantis",2020
Woman Accidentally Achieves Transcendent Mental Blankness While Trying to Add Two Numbers,2020
Woman Who Has Ghosted Three Therapists Makes Appointment to Learn About Past Lives,2020
Nice! The Person Walking Behind You on a Dark Empty Street is a Woman,2020
Man Devotes Rest of Life to Misogyny After Being Broken Up With Once,2020
How to Squirt So Much That Even The Magic Brooms in Fantasia Can’t Keep Up,2020
These Men Can’t Wait to Hire a Strong Woman Who Holds Every One of Their Opinions,2020
Numerous Blinking Lights on Dashboard Probably Fine,2020
Dead Leaves More Ominous This Year,2020
Woman in Desperate Need of Affirmation Just Reading Positive Reviews for Juicer She Already Has,2020
Refugee Mom Bonds with Daughter By Sharing Tips on How to Survive an Authoritarian Regime,2020
‘Shouldn’t Those Kids be at Virtual School?’ Mumbles Woman Who Should be at Virtual Work,2020
Woman Looks at Twitter Drafts to Try and Piece Together What Happened When She Was High,2020
"Fly on Pence’s Head is Shocked This Blew Up, Thinks You Should Check Out His SoundCloud",2020
Scissoring Tips for When Your Vagina is a Lefty,2020
Great Saxophone Solos That Will Make You Feel Like a Cat Wearing Sunglasses,2020
Broken Woman Can’t Even Get Excited About Trump’s COVID,2020
QUIZ: Are You a Busy Phillips or an Idle Phillips?,2020
67 Real Estate Agents That Are Somehow Not the Same Woman Over and Over Again,2020
"3 Circle Scarves That Say, ‘I Just Don’t Think Looting is the Answer’",2020
3 Butt-Clenching Exercises to Do Nonstop Until the Election’s Over,2020
"Sorry I’m Late, I Was Praying to God for the First Time in My Life",2020
